manufacturer,age,training_before[Y/N],gender,body_fat[%],smoking[Y/N],alcohol_times_week,occupation,education,marital_status,kids,location,N sessions/w 1m1w,N sessions/w 1m2w,N sessions/w 1m3w,N sessions/w 1y1w,N sessions/w 1y2w,N sessions/w 1y3w
sony,20,False,F,20,False,2,,school,divorced,0,"374 Rhonda Highway
South Jennifer, AZ 21884",3,3,2,2,2,2
oura,39,True,F,18,True,3,"Education officer, environmental",master,separated,1,"6234 Williams Pike Apt. 809
Nicholaston, MS 69034",3,3,2,2,2,2
fitbit,38,True,M,12,False,0,Telecommunications researcher,master,single,2,"435 Cindy Roads Suite 292
Lindatown, SD 69995",4,3,3,4,3,3
apple,49,True,M,17,False,1,Ship broker,master,separated,1,"8901 Powell Glen Suite 228
Scotttown, MP 20089",3,3,3,3,3,3
oura,40,True,M,10,True,1,"Psychologist, forensic",phd,single,1,"Unit 7937 Box 1195
DPO AE 12257",3,3,2,3,3,2
huawei,25,True,M,14,False,1,Magazine journalist,master,single,2,"1237 John Run Apt. 728
Anitaberg, OH 67389",2,3,2,2,3,2
xiaomi,28,True,F,26,True,3,Clinical embryologist,phd,married,0,"990 Thomas Mill Apt. 674
Port Lindsay, VT 89547",5,3,4,3,2,2
fitbit,45,False,F,35,False,0,Chief Financial Officer,phd,divorced,0,"279 Jennifer Extension Suite 915
Julieberg, GA 52053",5,5,3,4,4,2
coospo,25,False,F,36,True,2,Museum/gallery conservator,master,divorced,2,"145 Green Rue
North Susantown, VI 89047",3,3,3,2,2,2
huawei,19,True,M,19,False,3,,school,single,0,"PSC 5599, Box 1117
APO AP 64252",2,4,2,1,2,1
garmin,31,True,M,8,False,2,Midwife,school,single,3,"499 Sanford Way
Port Johnton, NH 23550",3,3,4,3,3,4
huawei,46,True,F,25,True,1,Art therapist,master,separated,1,"543 Cheryl Shores Suite 043
Lake Christopher, WA 17239",5,5,3,4,4,2
sony,29,False,F,18,True,1,Armed forces training and education officer,master,married,2,"134 Morales Shore
Melodyhaven, AS 31553",3,4,3,2,3,2
sony,32,True,M,13,False,3,Electronics engineer,bachelor,divorced,0,"699 Leslie Village
New Melissa, KY 42191",3,3,3,3,3,3
apple,40,True,F,20,True,3,Radio producer,bachelor,married,1,"465 Carter Station
South Jon, MT 92654",4,3,2,3,2,2
oura,45,True,F,28,True,1,Nutritional therapist,phd,divorced,0,"035 Dean Harbors Apt. 512
Donnamouth, MN 04387",3,3,3,2,2,2
coospo,21,True,M,15,True,2,,school,divorced,0,"822 Carla Mill Suite 270
West Miranda, WI 27913",3,3,2,2,2,2
coospo,49,True,M,19,True,2,Colour technologist,master,separated,1,"108 Jonathan Circle
Cathystad, OK 75975",3,3,3,2,2,2
sony,27,True,M,20,False,2,"Conservator, museum/gallery",bachelor,married,1,"89651 Stephen Keys
Lanebury, NM 06871",3,4,5,3,4,4
fitbit,22,True,M,18,True,3,"Pilot, airline",master,single,0,"38683 Ortega River
East Jeremiah, MD 80620",3,3,3,2,2,2
garmin,25,True,F,21,False,1,Broadcast journalist,master,separated,1,"92092 Miller Hollow
Port Erinberg, NM 16488",4,2,2,4,2,2
huawei,41,True,M,12,False,2,Data scientist,bachelor,separated,3,"3571 Michael Roads Apt. 365
North Rachelmouth, GA 33221",3,3,2,3,3,2
garmin,37,True,F,18,False,1,Fashion designer,school,married,3,"094 Dominic Corners Suite 115
East Angelashire, VI 26017",2,2,2,2,2,2
coospo,42,True,M,13,False,1,Clinical psychologist,master,single,1,"3524 Lloyd Lakes
South Jacob, ME 67739",3,3,3,3,3,3
garmin,25,True,F,26,False,1,Youth worker,master,separated,1,"329 Carlson Trail Apt. 817
Ralphview, MN 52362",5,5,3,4,4,3
oura,37,False,M,13,False,0,Technical author,master,divorced,3,"996 Barnett Villages
Lake Kristin, MT 22275",4,3,3,4,3,3
fitbit,59,True,F,21,False,3,"Scientist, audiological",phd,single,2,"18889 Wright Park
Dunlapfurt, SC 82399",3,3,4,2,2,3
sony,40,True,M,8,False,0,Clothing/textile technologist,school,separated,0,"1416 Martha Landing Suite 397
Grahamport, AL 76428",2,2,2,2,2,2
xiaomi,45,True,M,16,False,2,Clinical cytogeneticist,master,widowed,1,"PSC 3827, Box 3927
APO AA 60365",3,3,3,3,3,3
sony,35,False,M,21,False,3,Advice worker,bachelor,divorced,3,"38002 Howell Overpass Apt. 534
North Monicamouth, NV 53841",3,3,3,2,2,2
sony,51,True,F,17,False,2,"Teacher, adult education",bachelor,separated,3,"431 Nicole Causeway Apt. 496
Moniquetown, WA 20021",4,4,3,4,4,3
xiaomi,23,True,F,18,False,2,Special educational needs teacher,master,separated,1,"4003 Johnson Burgs
Staceyshire, AL 11388",3,3,3,3,3,3
huawei,21,False,F,24,False,2,,school,divorced,0,"01011 Rogers Greens Suite 821
Smithbury, IN 44761",3,3,3,2,2,2
fitbit,19,True,F,20,False,0,,school,single,0,"161 House Shores Apt. 884
North Eric, MA 54154",4,3,4,4,3,4
fitbit,45,True,F,16,False,0,Intelligence analyst,master,widowed,1,"734 Ronald Wells
Rosalesmouth, IA 40684",3,3,4,3,3,4
garmin,28,True,M,13,False,3,"Librarian, public",bachelor,single,2,"93696 Steven Trail Suite 595
Aaronfort, ND 17941",2,3,4,2,3,4
sony,18,True,F,18,True,0,,school,single,0,"00406 Michael Track Suite 670
Bowmanfort, PA 42705",4,3,4,3,2,3
apple,28,True,F,18,False,2,Private music teacher,bachelor,married,1,"3508 Stevens Skyway Apt. 558
Danielland, WY 86204",3,3,4,3,3,4
sony,41,True,M,18,True,1,Air broker,master,single,3,"33125 Cynthia Heights
South Geraldport, UT 88738",3,3,2,3,3,2
garmin,35,False,M,18,True,1,"Surveyor, building control",phd,divorced,0,"865 Melissa Turnpike Suite 184
Danaside, AR 35334",3,3,3,2,2,2
coospo,20,True,M,18,True,2,,school,single,0,"954 King Ridges Apt. 890
Watkinsview, IA 99308",3,2,3,2,2,2
sony,23,True,F,24,True,0,Housing manager/officer,master,separated,0,"149 Grace Coves
Jeffreystad, NH 31637",2,3,2,2,2,2
xiaomi,37,True,F,26,False,1,Research scientist (physical sciences),bachelor,single,0,"225 Chandler Mission Apt. 518
North Isabellaberg, GU 76965",2,3,3,2,3,3
sony,27,False,M,21,True,1,Medical physicist,bachelor,divorced,1,"2938 Edward Curve Apt. 137
North Kaitlynmouth, NC 85532",4,4,3,2,2,2
fitbit,23,False,M,23,False,2,Dispensing optician,bachelor,divorced,1,"89150 Dawson Courts
Port Sandra, ME 56461",3,2,3,2,1,2
garmin,21,False,M,17,False,2,,school,single,0,"95960 John Crescent Apt. 753
Savannahmouth, IA 85703",4,3,5,3,2,4
xiaomi,24,True,F,29,False,1,Biomedical engineer,master,divorced,2,"181 Oneal Radial
Meghanmouth, NY 64120",3,3,3,2,2,2
coospo,26,True,F,19,False,2,Insurance broker,master,separated,2,"587 Ronald Plains
Smithview, AR 77994",3,3,3,3,3,3
sony,21,False,M,26,True,0,,school,married,0,"5088 Sanchez Camp
Port Jesseshire, AR 92490",3,3,3,1,1,1
apple,48,True,F,14,False,2,"Accountant, chartered certified",phd,divorced,2,"65090 David Canyon
North Monica, OH 46977",4,3,3,4,3,3
garmin,22,True,F,15,False,1,Industrial/product designer,bachelor,separated,0,"477 Johnson Isle
South Brianton, AK 03198",4,4,4,4,4,4
coospo,47,True,M,18,False,1,Radio producer,master,single,2,"81697 Joseph Divide
Lake Adrian, ND 68199",3,3,3,3,3,3
xiaomi,47,True,M,11,False,3,"Surveyor, hydrographic",school,divorced,2,"68883 Cervantes Bypass
Pricemouth, MP 23097",3,3,3,2,2,2
sony,23,True,F,26,True,0,Archivist,master,single,1,"180 Ruiz Valley
Williamsberg, SD 20084",3,3,3,2,2,2
oura,21,True,F,19,False,1,,school,divorced,0,"59131 Nichols Hills
South Lisa, WY 96182",3,4,3,3,4,3
oura,38,False,M,25,True,0,Research scientist (physical sciences),master,separated,1,"74285 Tucker Points
Johnburgh, MA 61575",3,4,3,2,2,2
xiaomi,20,True,F,27,False,3,,school,married,0,"15905 Shannon Summit
West Tinaborough, ND 75331",4,4,4,2,2,2
oura,60,True,F,16,True,2,"Loss adjuster, chartered",master,single,1,"126 Leslie Route
Lake Dwayne, CA 15310",4,2,3,3,2,2
apple,31,False,F,39,True,0,Nutritional therapist,bachelor,separated,2,"6007 Mccarthy Rue
Port Christinaport, MI 90419",3,3,3,2,2,2
xiaomi,64,True,F,19,True,0,Fisheries officer,bachelor,single,3,"7982 Harvey Forge
Rachelshire, MS 55601",3,3,3,2,2,2
garmin,53,True,F,26,True,2,Press photographer,phd,widowed,0,"USCGC Harmon
FPO AE 88293",5,4,3,3,2,2
huawei,35,True,M,19,False,2,Hydrologist,bachelor,single,3,"9762 Harris Centers
East Vernon, LA 87180",3,3,3,3,3,3
fitbit,47,True,F,22,False,1,Special educational needs teacher,bachelor,single,0,"83659 Noah Center Suite 893
East Sueborough, TX 53381",3,3,3,3,3,3
coospo,39,False,M,17,False,2,Learning mentor,school,separated,2,"Unit 2063 Box 4490
DPO AA 76488",4,3,3,4,3,3
garmin,18,True,M,19,False,3,,school,single,0,"USNS Bennett
FPO AE 25135",3,4,3,2,2,2
apple,31,False,F,24,True,1,Computer games developer,school,married,0,"513 Blackburn Club Apt. 494
Murrayfurt, MD 93791",3,3,3,2,2,2
garmin,25,True,M,8,False,1,Retail buyer,bachelor,separated,0,"08862 Dean River Apt. 419
North Suzanneberg, AK 87893",4,5,3,4,5,3
apple,27,False,F,28,True,0,"Programmer, multimedia",bachelor,divorced,0,"84091 Calhoun Light Apt. 738
East Jonside, TX 97267",3,3,3,2,2,2
coospo,43,True,M,8,False,2,Physiotherapist,school,separated,1,"14554 Daniel Inlet
Samanthabury, GU 58021",4,5,4,4,5,4
garmin,24,True,M,16,False,0,"Psychologist, counselling",bachelor,married,2,"31076 Mueller Trafficway Suite 791
East Colleenhaven, SD 39977",3,3,3,3,3,3
sony,19,True,F,14,True,3,,school,single,0,"446 Sharon Stream Suite 643
Cynthiamouth, DC 77107",5,5,4,3,3,2
apple,29,True,M,9,False,0,Pathologist,master,divorced,0,"14159 Butler Vista Suite 659
Bethanystad, TX 63938",3,3,3,3,3,3
oura,25,True,F,25,True,0,"Buyer, industrial",bachelor,divorced,2,"5106 Sonya Station Apt. 668
North Eduardoborough, PW 70869",2,5,4,2,4,4
huawei,24,True,F,29,False,2,Glass blower/designer,master,separated,1,"4890 Joseph Fort
Kingmouth, MD 07485",4,2,2,3,2,2
sony,45,True,M,21,False,1,"Teacher, primary school",bachelor,single,3,"3487 Derek Drive
Adamfurt, UT 75492",4,5,5,4,4,4
oura,38,True,M,15,False,0,Training and development officer,school,married,2,"38467 Allen Road Suite 971
New Lindsay, ID 31876",3,3,3,3,3,3
sony,45,True,M,8,False,3,Administrator,phd,single,1,"54571 Dorsey Via
Wintersview, NJ 98883",3,4,4,3,4,4
huawei,23,True,M,15,False,3,Production manager,master,married,2,"445 Taylor Course Apt. 730
East Heather, IN 45384",5,3,5,4,2,4
fitbit,32,True,F,20,True,2,"Chemist, analytical",bachelor,married,2,"25777 Brown Way
Morenohaven, CT 50058",2,3,3,2,3,3
coospo,26,True,F,26,False,3,Financial manager,master,separated,0,"06767 Patel Forge Apt. 748
Rebeccafort, CT 01331",3,5,5,2,4,4
coospo,22,True,F,19,True,1,Psychiatrist,master,single,0,"06533 Thomas Rapids Suite 958
South Timothymouth, VI 38632",4,3,3,3,2,2
apple,29,True,F,24,False,1,Physiotherapist,school,separated,1,"3882 Jessica Common
Rhondaview, NY 45850",5,5,4,5,5,4
xiaomi,23,False,M,26,True,2,"Scientist, physiological",bachelor,married,0,"PSC 7328, Box 9913
APO AA 52344",4,3,3,1,1,1
garmin,31,True,M,21,False,0,"Programmer, applications",bachelor,married,0,"980 Jacob Oval Apt. 025
South Frederickstad, MN 89101",3,2,3,3,2,3
fitbit,24,False,M,24,False,0,Systems developer,bachelor,divorced,0,"994 Hill Pines
West Brendaburgh, IL 27820",5,2,2,3,1,1
garmin,43,False,M,14,False,0,Recycling officer,bachelor,divorced,1,"866 Rebecca Ports Apt. 537
North Matthew, NJ 32467",4,3,4,4,3,4
fitbit,29,True,F,14,False,1,Operations geologist,phd,divorced,1,"2080 Banks Vista
South Lindsay, HI 34174",3,2,2,3,2,2
huawei,49,True,F,15,False,2,Chief Executive Officer,school,divorced,3,"400 Eileen Shoals Apt. 431
West Julieport, PA 05322",4,3,2,4,3,2
xiaomi,62,True,M,13,False,2,"Programmer, multimedia",bachelor,separated,2,"43562 Steven Mission
New Williamchester, AZ 70025",5,3,3,4,3,3
coospo,28,True,F,16,False,0,Wellsite geologist,bachelor,single,1,"4428 Martin Oval Apt. 179
Kimberlytown, KY 94068",3,3,3,3,3,3
garmin,37,True,F,23,False,0,Paramedic,phd,single,2,"059 Nicole Passage
Nicolestad, NH 48143",3,4,2,3,4,2
garmin,40,True,F,15,False,1,"Accountant, chartered certified",bachelor,divorced,2,"28836 Dillon Inlet
Jessicamouth, TX 33990",3,3,2,3,3,2
xiaomi,25,True,M,18,False,0,Amenity horticulturist,bachelor,single,2,"3048 Salas Fork Apt. 335
Joseville, NY 59975",3,3,3,3,3,3
apple,21,True,M,13,False,3,,school,separated,0,"6464 Anderson Glens Suite 970
Raytown, TX 54956",3,5,2,2,4,2
fitbit,38,True,F,16,False,1,Theme park manager,master,divorced,3,"0676 Ashley Villages Suite 273
New Christophershire, MS 16219",3,3,3,3,3,3
sony,62,True,F,22,False,3,Retail manager,master,married,0,"30428 Lucas Fields
North Andreshire, OR 74893",3,3,3,2,2,2
fitbit,35,True,M,10,False,2,Dancer,master,separated,1,"5004 Cain Ways Apt. 329
South Megan, MI 19500",2,3,2,2,3,2
apple,64,True,F,25,False,3,"Research officer, political party",master,divorced,1,"Unit 3427 Box 9123
DPO AA 52700",3,3,3,2,2,2
xiaomi,60,True,M,20,True,0,Logistics and distribution manager,bachelor,married,3,"287 Sean Well Apt. 056
North Jody, AZ 59173",3,3,3,2,2,2
garmin,61,True,M,15,False,0,"Designer, jewellery",school,divorced,3,"052 Monica Points Suite 900
North David, GA 87078",3,3,4,3,3,4
garmin,30,True,M,18,False,0,"Editor, magazine features",bachelor,married,0,"388 Garrett Stream
Robertchester, MD 90787",3,2,3,3,2,3
coospo,40,True,M,18,False,0,Oceanographer,phd,divorced,3,"5669 Cummings Points Apt. 028
Bergerview, CT 08723",4,3,4,4,3,4
xiaomi,39,True,M,18,False,3,Event organiser,bachelor,divorced,2,"4152 Payne Keys
Lopezhaven, GA 75112",4,3,3,4,3,3
sony,52,True,M,19,True,3,Copy,school,widowed,3,"00612 Page Shoal
New Saramouth, FL 14672",3,3,3,1,1,1
fitbit,26,True,M,14,False,0,Ophthalmologist,master,single,2,"PSC 9187, Box 2584
APO AA 30167",3,3,3,3,3,3
xiaomi,45,True,F,28,True,3,Secondary school teacher,bachelor,widowed,1,"0361 Roberts Rest
Frazierville, GA 56882",2,4,5,1,2,3
oura,58,True,M,14,False,1,Biomedical scientist,master,married,0,"5601 Michelle Wells
Jenniferchester, DC 80112",2,3,3,2,3,3
fitbit,58,False,M,16,True,0,"Copywriter, advertising",master,separated,2,"USNS Walker
FPO AA 65894",4,5,4,2,3,2
huawei,34,True,F,14,False,2,"Scientist, product/process development",phd,single,0,"PSC 3806, Box 7819
APO AE 94387",2,3,4,2,3,4
garmin,36,True,M,10,True,2,Podiatrist,bachelor,separated,1,"434 Leslie Forges Suite 693
Port Brendafurt, FM 92623",5,2,2,4,2,2
oura,54,True,M,8,False,3,"Programmer, applications",bachelor,single,1,"8902 James Corners
East Carrieborough, ME 58874",2,2,4,2,2,3
coospo,52,True,M,8,False,3,Politician's assistant,phd,married,3,"98456 Dean Centers Apt. 056
Sandrahaven, AR 91063",2,3,3,2,2,2
fitbit,34,False,M,15,False,1,"Designer, textile",school,married,1,"8651 Peterson Common
Port Robert, MD 13433",3,2,2,3,2,2
garmin,19,True,F,15,False,1,,school,single,0,"500 Nelson Mission
Port Paul, UT 87974",5,3,3,4,3,3
huawei,21,False,F,24,False,0,,school,divorced,0,"50053 Harrison Valleys
Mooreport, MO 95873",3,3,3,2,2,2
oura,18,False,F,21,False,1,,school,single,0,"102 Smith Port
Kingtown, PR 02213",3,3,3,2,2,2
oura,42,True,M,19,False,2,Health physicist,school,separated,3,"921 Allen Fields Suite 299
North Barbara, DC 91947",2,5,2,2,4,2
fitbit,55,True,F,23,False,3,Logistics and distribution manager,phd,widowed,1,"2537 Wright Road Suite 516
Contrerasland, DE 51660",4,3,3,3,2,2
huawei,24,True,M,14,True,1,Architectural technologist,master,married,2,"Unit 2062 Box 7089
DPO AP 10958",2,3,2,2,2,2
xiaomi,35,True,F,26,True,0,Recruitment consultant,school,separated,2,"1699 Philip Estate
Lopezside, PA 38692",3,3,2,2,2,2
sony,37,True,M,9,False,2,Contracting civil engineer,bachelor,married,0,"03665 Hernandez Lodge
Lake Bruce, TX 19878",3,4,2,3,4,2
sony,33,False,F,33,False,0,Clinical psychologist,master,married,0,"9487 Fuentes Fork
Lake Dawnfurt, ME 00533",3,3,3,2,2,2
sony,23,True,F,23,True,2,"Engineer, manufacturing systems",master,separated,2,"Unit 8309 Box 8389
DPO AP 23097",5,5,4,4,4,3
coospo,30,True,M,17,False,2,Personnel officer,bachelor,married,2,"USS Green
FPO AP 96371",3,3,3,3,3,3
huawei,19,True,F,19,False,3,,school,single,0,"938 Denise Burg
West Jared, PW 13724",4,3,5,3,2,4
sony,55,False,F,37,False,1,Air broker,master,married,0,"97417 Austin Valleys
South Lori, CA 28121",3,4,4,2,2,2
sony,54,False,M,15,False,3,Radiation protection practitioner,phd,widowed,3,"6889 Kyle Views
Lake Tina, ID 78058",3,3,3,2,2,2
sony,23,True,F,21,False,0,Oceanographer,master,single,2,"68784 Charles Forks Suite 883
Edwardland, PR 83355",4,3,4,4,3,4
xiaomi,51,True,M,16,False,1,Paediatric nurse,bachelor,single,3,"09895 Johnson Manor
Burnsshire, WY 79623",5,4,4,4,4,4
oura,64,True,M,14,True,1,Trade mark attorney,bachelor,married,3,"805 Perry Villages Suite 565
West Pamela, NE 89085",4,4,2,3,3,2
huawei,29,True,M,14,False,3,"Accountant, chartered",bachelor,divorced,1,"91508 Karen Knoll Apt. 691
Port Jessica, IL 93810",3,5,3,3,4,3
apple,27,False,F,31,False,0,Newspaper journalist,bachelor,married,1,"463 Barbara Crossing
East Kelly, MA 80274",3,3,2,2,2,2
xiaomi,48,True,F,26,True,3,TEFL teacher,bachelor,widowed,2,"PSC 9207, Box 6811
APO AE 66897",2,3,2,1,1,1
huawei,25,False,F,36,False,1,"Radiographer, diagnostic",master,married,0,"392 Eric Avenue
Becktown, AS 07984",5,5,4,4,4,3
huawei,22,True,M,16,False,3,Editorial assistant,master,single,1,"4827 Michael Creek
Mikaylaton, MN 53411",3,2,3,2,2,2
coospo,41,True,M,17,True,2,Field seismologist,master,widowed,3,"72129 Sandra Neck
Bowenport, NJ 67520",4,4,2,4,4,2
xiaomi,51,True,F,16,True,2,Sports administrator,bachelor,single,2,"Unit 7087 Box 7267
DPO AE 58421",5,4,4,4,3,3
fitbit,23,False,M,27,False,1,"Buyer, industrial",master,divorced,0,"084 Casey Mall
Port Juanfurt, SC 29160",5,4,4,3,2,2
coospo,36,True,F,23,True,2,Advertising copywriter,phd,divorced,1,"12876 Smith Roads Apt. 505
Nathanielchester, NC 45891",2,3,4,2,3,4
huawei,39,True,M,21,False,3,Chief Financial Officer,phd,divorced,1,"8308 Kristina Glen
Johnsonland, CO 42402",4,3,2,3,2,2
oura,43,False,F,28,True,2,"Therapist, occupational",master,divorced,1,"0863 Jackson Trace
South Gregoryview, UT 02906",5,4,2,3,2,1
fitbit,22,True,F,25,True,2,"Engineer, mining",bachelor,single,2,"694 Marcus Haven
East Melodybury, NC 70296",3,3,3,2,2,2
coospo,25,True,F,17,False,1,Visual merchandiser,master,married,2,"177 Gordon Row
Donaldville, OK 86786",3,3,3,3,3,3
xiaomi,22,True,M,10,False,0,Art gallery manager,bachelor,divorced,2,"Unit 5429 Box 1431
DPO AA 97866",3,3,3,3,3,3
apple,30,True,M,9,True,1,"Education officer, environmental",school,married,3,"871 Charles Roads Apt. 015
North Brandyside, WI 85452",4,3,3,4,3,3
sony,27,False,F,29,False,1,"Surveyor, quantity",master,single,0,"549 Jeremiah Forge Apt. 664
Richardsonton, KY 20661",3,3,3,2,2,2
huawei,35,False,F,21,False,2,Aid worker,bachelor,divorced,0,"42688 Alexis Lakes
Thomasport, UT 69190",3,3,3,3,3,3
apple,23,False,F,24,False,0,Paediatric nurse,bachelor,divorced,1,"273 Angie Heights Suite 195
South Yvettebury, UT 52166",3,3,4,2,2,3
sony,24,True,F,29,True,2,Catering manager,bachelor,divorced,0,"43583 Alejandro Road Suite 948
Port Casey, ID 91141",2,4,2,1,2,1
huawei,33,False,M,13,False,1,Furniture designer,school,married,0,"0291 Perez Plains Apt. 241
West Stephen, MS 41451",4,4,3,4,4,3
fitbit,55,True,F,27,False,0,Transport planner,phd,separated,3,"21646 Beth Mount Apt. 782
Robinsonfurt, WI 12178",4,4,4,3,3,3
huawei,27,False,M,14,False,1,Clinical psychologist,bachelor,single,0,"251 Estrada Row
Aliciabury, MS 78396",3,5,4,3,4,4
apple,25,False,M,20,False,2,Agricultural consultant,bachelor,married,0,"PSC 4000, Box 5197
APO AE 73566",3,2,2,2,2,2
huawei,40,True,F,29,False,1,Energy engineer,bachelor,married,2,"91526 Tina Villages Suite 989
Trujillochester, MN 68270",3,3,2,3,3,2
garmin,64,True,M,14,True,0,"Psychologist, sport and exercise",bachelor,widowed,1,"00741 Rachel Parks
East Tiffanychester, MH 94265",4,2,3,3,2,2
fitbit,18,True,F,17,True,0,,school,single,0,"99582 Kevin Lodge Apt. 778
Port Christopher, KS 17503",3,3,3,2,2,2
oura,31,True,M,13,False,0,Applications developer,bachelor,married,3,"541 Clifford Drive
Isaacshire, NC 67452",3,3,4,3,3,4
garmin,25,True,M,14,True,2,Retail merchandiser,master,married,1,"51536 Bradford Streets Suite 794
South Deborah, OH 95630",4,2,4,4,2,4
apple,56,True,F,16,False,0,Medical physicist,school,separated,3,"USCGC Hawkins
FPO AP 51174",4,5,4,4,4,4
coospo,23,True,M,8,False,3,Research scientist (life sciences),master,divorced,0,"9528 Dorsey Shoal
Murrayshire, UT 57766",3,3,3,2,2,2
apple,56,True,M,9,False,0,Clinical embryologist,master,married,3,"77214 Jeffrey Trafficway
New Karen, WV 04909",3,4,4,3,4,4
fitbit,55,True,M,12,False,1,"Buyer, retail",phd,divorced,3,"3181 Amy Road Suite 587
Port Edwinshire, SC 28618",3,3,4,3,3,4
oura,32,True,M,18,False,3,Interpreter,school,divorced,3,"431 House Landing
Rodriguezbury, WY 92301",4,4,4,4,4,4
coospo,23,True,F,23,True,1,Clinical biochemist,master,married,1,"USCGC Smith
FPO AP 63813",4,4,3,3,3,2
apple,30,False,F,22,False,1,Interpreter,bachelor,married,2,"3204 Sanchez Forest
Marthaburgh, NC 23676",3,3,3,3,3,3
xiaomi,36,True,F,29,False,1,Fast food restaurant manager,master,married,3,"733 Rodriguez Junctions Apt. 556
Oliverview, NV 24280",4,5,5,4,4,4
apple,21,True,M,19,False,1,,school,divorced,0,"2501 Nunez Circle Suite 613
West Anita, LA 01424",3,3,3,2,2,2
apple,18,True,F,26,False,2,,school,single,0,"2275 Benton Hollow
Abigailfort, WA 79552",2,2,2,2,2,2
oura,53,True,M,14,False,2,"Clinical scientist, histocompatibility and immunogenetics",phd,married,3,"PSC 5774, Box 9879
APO AE 28447",3,3,3,3,3,3
fitbit,36,True,F,23,False,0,Call centre manager,school,married,0,"16004 Dalton Courts
West Richard, NJ 59315",5,4,5,5,4,5
coospo,33,True,F,28,False,3,Cabin crew,master,single,0,"4767 Jacqueline Ferry Suite 446
New Randallshire, WV 86183",4,4,4,3,3,3
garmin,44,True,F,17,False,0,Research scientist (medical),phd,single,1,"184 Thornton Mill Apt. 060
Sharonview, WY 35127",4,5,5,4,5,5
sony,23,True,F,22,False,2,Scientific laboratory technician,master,single,1,"84132 Burns Lock Apt. 467
North Staceyside, IA 72806",3,4,4,3,4,4
huawei,58,False,F,32,False,0,Systems developer,master,separated,2,"2964 Mann Station Suite 805
South Victor, TN 30469",3,3,3,2,2,2
sony,28,False,M,29,False,2,Broadcast presenter,master,separated,2,"8645 Kathleen Extension Suite 189
New Lucas, OK 39995",4,5,4,3,4,3
sony,40,True,M,11,False,3,Location manager,phd,separated,0,"USNS Williams
FPO AA 16907",2,3,3,2,3,3
sony,34,False,M,14,False,0,Operations geologist,bachelor,separated,1,"3246 Mercer Estates Suite 400
Port Monicatown, NJ 37897",2,2,2,2,2,2
garmin,18,True,F,23,False,0,,school,single,0,"6559 Bridges Valley
South Ricardoshire, ID 77353",4,3,2,4,3,2
xiaomi,50,False,M,17,False,0,Art therapist,phd,separated,2,"01983 Patterson Ramp Apt. 415
Kellystad, MO 63925",4,3,3,3,2,2
huawei,46,True,M,14,False,1,Museum education officer,school,single,3,"9501 Gonzalez Roads
East Jonathan, NE 80777",3,3,3,3,3,3
sony,22,True,M,20,True,3,Soil scientist,master,single,1,"540 Patricia Overpass Suite 053
South Rhonda, LA 45782",4,3,3,1,1,1
xiaomi,38,True,F,19,True,3,Psychotherapist,bachelor,married,1,"0337 Cameron Lodge Suite 719
Heatherport, MH 88732",3,4,4,2,3,3
apple,25,True,F,27,False,0,Retail merchandiser,master,single,0,"277 Sarah Centers
West Crystal, FM 78982",4,4,4,4,4,4
fitbit,37,True,M,19,False,0,Animal technologist,phd,separated,2,"0091 Ellison Centers
North Raymondberg, TX 79134",4,3,3,4,3,3
apple,38,False,F,18,False,3,Production engineer,school,married,1,"21048 Mckee Plains Apt. 566
Port Gerald, ND 05709",4,3,3,3,2,2
oura,33,True,M,15,False,0,"Engineer, manufacturing",bachelor,single,0,"40700 Annette Valley
Rileyfurt, MS 99286",3,3,3,3,3,3
xiaomi,21,False,F,24,False,1,,school,divorced,0,"32657 Tran Way
Grantport, DE 94372",4,3,3,3,2,2
coospo,40,True,M,20,False,3,Ophthalmologist,phd,divorced,1,"08966 Coleman Isle Apt. 217
Browntown, MI 11080",4,5,4,3,4,3
sony,45,True,F,21,False,2,Hydrologist,bachelor,divorced,3,"USCGC Schultz
FPO AE 32857",4,3,3,4,3,3
apple,28,True,M,18,False,0,Primary school teacher,phd,separated,0,"03584 Deborah Lock
Johnsonside, PR 66184",5,5,3,5,5,3
coospo,30,True,F,15,True,0,Retail banker,phd,separated,3,"184 Courtney Lake Apt. 655
Petersfurt, KS 84412",3,3,3,3,3,3
apple,37,True,M,17,False,3,Curator,bachelor,divorced,3,"4852 Taylor Forest Apt. 632
Marcport, CT 67558",3,3,4,3,3,4
sony,26,False,M,25,True,1,"Scientist, clinical (histocompatibility and immunogenetics)",bachelor,separated,2,"82697 Amber Circles Apt. 449
Thomaschester, MH 78795",5,3,4,3,2,2
oura,53,True,M,16,False,2,Ship broker,master,divorced,1,"5308 Katherine Villages Suite 175
East Sarah, WV 67869",3,4,4,3,4,4
xiaomi,34,True,M,11,False,3,"Engineer, technical sales",master,single,1,"3600 Hayes Station
Meredithfurt, NV 26577",3,2,3,3,2,3
xiaomi,42,True,F,29,False,3,Charity fundraiser,master,widowed,3,"1776 Christopher Mountains Apt. 279
Lake Rhondahaven, NE 06164",4,3,3,3,2,2
xiaomi,34,False,M,15,False,2,Records manager,bachelor,separated,2,"862 Brett Islands
South Tarachester, FL 39889",3,3,4,3,3,4
coospo,52,True,M,18,False,0,IT technical support officer,school,widowed,2,"825 Russell Grove Suite 412
Marcbury, ME 43769",4,4,2,4,4,2
